Type,Operator,Registration
Douglas C-124A-DL,Military - U.S. Air Force,51-0174
MD DC-8-11 / Lockheed  1049 S Const,United Air Lines / Trans World Airlines,N8013U/N6907C
Convair C-131D (CV-340-79),Military - U.S. Air Force,55-291
Douglas DC-3,Philippine Air Lines,PI-C126
Avia 14,Ceskoslovenske Aerolinie,OK-MCZ
Douglas DC-3,Finnair,OH-LCC
McDonnell Douglas DC-8-21,Aeronaves de Mexico,XA-XAX
Lockheed WV-2 Super Constellation,Military - U.S. Navy,BU143193
Douglas DC-3,Garuda Indonesia Airlines,PK-GDI
Douglas C-118A,Military - U.S. Air Force,51-17626
Boeing 707-123,American Airlines,N7502A
Douglas DC-3,Garuda Indonesia Airlines,PK-GDY
Boeing B-707-320,Sabena,OO-SJB
Douglas DC-3,Linea Aeropostal Venezolana,YV-C-AZQ
Douglas C-47DL,Military - Brazilian Air Force,C-47-2055
Ilyushin IL-18,Ceskoslovenske Aerolinie,OK-OAD
Handley Page Hastings C-2,Military - Royal Air Force,WD497
McDonnell Douglas DC-8-53,KLM Royal Dutch Airlines,PH-DCL
Lockheed L-188C Electra,KLM Royal Dutch Airlines,PH-LLM
Douglas C-54B-1-DC,Continentale Deutsche Luftreederei,D-ABEB
Curtiss C-46A,Transcontinental,LV-FTO
Tupolev TU-104B,Aeroflot,CCCP-42447
McDonnell Douglas DC-8-12,United Air Lines,N8040U
Ilyushin IL-18B,Ceskoslovenske Aerolinie,OK-PAF
Douglas DC-6,Aerolineas Argentinas,LV-ADW
Douglas DC-6A,Alaska Airlines,N6118C
Douglas DC-3,Malev Hungarian Airlines,HA-TSA
Vickers Viking 3B,Cunard Eagle Airways,G-AHPM
Curtiss C-46F,Air America,B-136
de Havilland Canada DHC-3 Otter,Eastern Provincial Airways,CF-MEX
Lockheed 049 Constellation,Trans World Airlines,N86511
Douglas DC-3,Ethiopian Airlines,ET-T-16
Douglas DC-3,Lineas A̩reas Costarricenses,TI-1006C
Douglas DC-3,Garuda Indonesia Airlines,PK-GDZ
Douglas DC-6B,President Airlines,N90773
Sud-Aviation Caravelle III,Air France,F-BJTB
Douglas DC-6B,United Nations Organization,SE-BDY
Lockheed 188C  Electra,Northwest Orient Airlines,N137US
Fokker F-27 Friendship 100,Turkish Airlines (THY),TC-TAY
Douglas DC-3,Derby Aviation,G-AMSW
Handley Page Hastings C-2,Military - Royal Air Force,WD498
Silver City Airways,Bristol 170 Freighter 31M,G-ANWL
Douglas DC-7C,Panair do Brasil,PP-PDO
Lockheed C-69 Constellation,Imperial Airways,N2737A
Lockheed L-749A Constellation,Air Haiti International,HH-ABA
de Havilland Comet 4,Aerolineas Argentinas,LV-AHR
Douglas C-54 Skymaster,Military - For̤a A̩rea Portuguesa,
Vickers Viscount 720,Ansett ANA,VH-TVC
Boeing 720-030B,Lufthansa,D-ABOK
Fairchild C-119G / Fairchild C-119,Military - Belgian Air Force,CP-23 / CP-25
Curtiss C-46,Lanica,AN-AOE
de Havilland Comet 4B,British European Airways,G-ARJM
Grumman G-21A Goose,Kodiak Airways,N1503V
Curtiss C-46D,Corporacion Boliviano de Fomento,CP-541
Antonov AN-10A,Aeroflot,CCCP-11148
Douglas DC-3,Faucett,OB-PBH-530
Fairchild F-27,Avensa,YV-C-EVH
Douglas C-47A,Avianca,HK-502
Boeing B-707-123B,American Airlines,N7506A
Douglas DC-7C,Caledonian Airways,G-ARUD
Douglas DC-3,South African Airways,ZS-DJC
Fairchild F-27,Turkish Airlines (THY),TC-KOP
Douglas DC-6B,Societa Aerea Mediterranea,I-DIMO
Lockheed C-130A Hercules,Military - U.S. Air Force,55-0020
Lockheed 1049H Super Constellation,Flying Tiger Line,N6911C
Lockheed 1049H Super Constellation,Flying Tiger Line,N6921C
Nord 2501 Noratlas,Military - French Air Force,204
Ilyushin IL-14,Cubana de Aviacion,CU-T819
Douglas C-47,Military - Colombian Air Force,FAC-563
Douglas C-47A-1,AVISPA,HK-524
Convair CV-440 -62,Iberia Airlines,EC-ATB
Douglas C-47A,East Anglian Flying Services,G-AGZB
Douglas C-47,Military - Union of Burma Air Force,UB-BG-707
Convair CV-240-0,Cruzeiro,PP-CEZ
Consolidated Catalina,East Provincial Airways,CF-IHA
Douglas DC-3,United Arab Airlines,SU-AJM
Lockheed C-130A Hercules,Military - U.S. Air Force,56-0546
Lockheed C121J,Military - U.S. Navy,131390
Boeing B-707-124,Continental Airlines,N70775
Boeing B-707-328,Air France,F-BHSM
Tupolev Tu-104B,Aeroflot,CCCP-42491
Boeing B-707-328,Air France,F-BHST
Antonov AN-10A,Aeroflot,CCCP11186
Tupolev TU-104A,Aeroflot,CCCP-42370
Ilyushin IL-14,Aeroflot,
McDonnell Douglas DC-8-43,Alitalia,I-DIWD
Douglas DC-4,Trans Mediterranean Airways,OD-AEC
Douglas C-47A,Indian Airlines,VT-AUS
Douglas C-47,Kalinga Airlines,VT-DFZ
de Havilland Comet 4C,United Arab Airlines,SU-AMW
Bristol Britannia 314,Canadian PacifiAir Lines,CF-CZB
Antonov An-10A,Aeroflot,CCCP-11186
Douglas DC-3,Air France,F-BAOE
Douglas DC-3,Royal Nepal Airlines,9N-AAH
McDonnell Douglas DC-8-33,Panair do Brazil,PP-PDT
Douglas DC-3,Taxader Airlines,HK-794
Douglas DC-3,Faucett,OB-PBN-659
Tupolev TU-104A,Aeroflot,CCCP-42366
Lockheed P2V-7,Military - Japan Maritime Self Defense Force,KA-4628
Lockheed 18 Lodestar,Private - Ashland Oil Company,N1000F
Avia 14,Ceskoslovenske Aerolinie,OK-MCT
Boeing KC-135A,Military - U.S. Air Force,60-0352
Douglas C-47A,Aerolineas Abaroa,CP-710
Douglas C-47A,Kalinga Airlines,VT-DGX
Lockheed 1049H-82 Super Constellation,Flying Tiger Line,N6923C
Vickers 757 Viscount,Trans Canada Air Lines,CF-THA
Fokker F-27 Friendship 100,Philippine Air Lines,PI-C503
de Havilland DH-125-1A,Avionas  Banamex,XA-COL
Convair CV-340/440,Allegheny Airlines,N8415N
Tupolev TU-104B,Aeroflot,CCCP-42495
Douglas DC-3,Air Vietnam (South Vietnam),XV-NID
Vickers 828 Viscount,All Nippon Airways,JA8202
Vickers Viscount 745D,United Air Lines,N7430
Douglas C-54D,Military - Portuguese Air Force,7502
Ilyushin IL-18D,Malev Hungarian Airlines,HA-MOD
Saab Scandia / Cessna 310,VASP / Private,PP-SRA
Boeing B-707-441,Varig,PP-VJB
Douglas DC-7B,Eastern Air Lines,N815D
Douglas C-47,Taxader Airlines,HK-437E
Lockheed 049-46-21 Constellation,Panair do Brasil,PP-PDE
Lockheed 1049H Super Constellation,Flying Tiger Line,N6913C
Vickers Viscount 804,LOT Polish Airlines,SP-LVB
KB-50,Military - U.S. Air Force,
Convair CV-240-2,Varig,PP-VCQ
Channel Air Bridge,Carvair ATL-98,G-ARSF
Boeing B307-1 Stratoliner,Air Nautic,F-BELZ
Bell 74G,Commercial Air Taxi,N994B
Beech AT-11,Wien Alaska Airlines,N65458
Convair CV-240-0,Cruzeiro,PP-CEV
Fairchild F-27,West Coast Airlines,N2703
Curtiss C-46F,Skyvan Airways,N67933
Vickers Viscount 812,Continental Airlines,N242V
Lockheed P-3A Orion,Military - U.S. Navy,
Vickers Viscount 754D,Middle East Airlines / Military - Turkish Air ForceC-47,OD-ADE
Lockheed 1049H Super Constellation,Slick Airways,N9740Z
Antonov An-10A,Aeroflot,CCCP-11193
Boeing B-720-051B,Northwest Orient Airlines,N724US
Douglas DC-7,Eastern Air Lines,N842D
Douglas DC-3,Philippine Air Lines,PI-C489
Piper PA-24-250 Comanche,Private,N7000P
Avro 685 York C1,Middle East Airlines,OD-ACZ
Douglas DC-6B,Lloyd Aereo Boliviano,CP-707
de Havilland Comet 4C,Saudi Arabian Royal Flight,SA-R-7
H-21B,Military - Japan Air Self Defense Force,
Convair CV-440,Linjefyg,SE-CCK
Douglas DC-3,Itavia,I-TAVI
Vickers Viscount 759D,Icelandair,TF-ISU
Douglas DC-6B,Air Afrique,F-BIAO
Convair CV-340-59,Cruzeiro,PP-CDW
Douglas DC-3,United Arab Airlines,SU-AJX
Douglas DC-7CF,Northwest Orient Airlines,N290
Douglas C-47,Indian Airlines,VT-AUL
Douglas DC-3,Union of Burma Airways,XY-ACS
VEB 14P,Tarom,YR-ILL
Douglas C-47A,Military - Chilean Air Force,FAC-953
Fairchild C-119,Military - Royal Belgian Air Force,CP-45
Kaiser-Fraser C-119G,Military - Belgian Air Force,CP-45
Douglas DC-3,Varig,PP-VBV
Martin 404,Mohawk Airlines,N449A
Douglas DC-3,New Zealand National Airways,ZK-AYZ
Tupolev TU-104B,Aeroflot,CCCP42492
Douglas C-47,Air Madagascar,5R-MAJ
Curtiss C-46F,Air America,B-148
de Havilland Comet 4C,United Arab Airlines,SU-ALD
Avro Shackleton MR3,Military - South African Air Force,1718K
Vickers Viscount 708,Air Inter,F-BGNV
Curtiss C-46F-1-CU,American Air  Export & Import Co.,N67941
de Havilland DH-114 Heron,Fujita Koku Kabushki Kai,JA6155
Tupelov Tu-124,Aeroflot,CCCP-45021
Boeing KC-135A / Boeing KC-135A,Military - U.S. Air Force / Military -  U.S. Air Force,61-0319/61-0322
Sud-Aviation Caravelle III,Swissair,HG-ICV
Vickers Viking 1B,Air Nautic,F-BJER
Vickers Viscount 768D,Indian Airlines,VT-DIO
Douglas C-133A,Military - U.S. Air Force,56-2002
Douglas C-74,Aeronaves de Panama,HP-385
Boeing Vetrol 107 II helicopter,New York Airways,N6673D
Antonov AN-12,Military - Soviet Air Force,
Ilyushin IL-14,Aeroflot,CCCP-04188
BAC One-Eleven 200AB,British Aircraft Corporation,G-ASHG
Douglas DC-3,Finnair,OH-LCA
McDonnell Douglas DC-8F-54F,Trans Canada Air Lines,CF-TJN
Curtis C-46A-20-CU,Zantop Air Transport,N609
Boeing B-707-121,Pan American World Airways,N709PA
Douglas C-54A,Trans Mediterranean Airways,OD-AEB
Vickers 634 Viking 1B,Misrair,SU-AFK
Douglas DC-6B,Western Airlines,N93131
Douglas DC-3,Aerolineas Litoral Argentina,LV-FYJ
Piper PA-23,Commercial Air Taxi,N2136P
Douglas C-47A,Turkish Airlines (THY),TC-ETI
Beech D18S,South Central Airlines,N2999
Douglas DC-3,Lloyd A̩reo Boliviano,CP- 568
Piper PA-23,Private air taxi,N2157P
Piper Aero Commander 560E,Commercial Air Taxi,N3823C
Ilyushin IL-14,Military - Indian Air Force,
Douglas DC-3,Philippine Air Lines,PI-C97
Fairchild C-119,Military - Indian Air Force,
Beechcraft C35,Commercial Air Taxi,N1800D
McDonnell Douglas DC-8-21,Eastern Air Lines,N8607
Convair CV-240-0,Fuji Airlines,JA5098
Bristol Britannia 312,British Eagle International Airlines,G-AOVO
Lockheed 049 Constellation,Paradise Airlines,N86504
Douglas DC-3,Taxi Aereo de Santander,HK-862
Douglas DC-3,Snow Valley Ski Lines,N410D
Douglas DC-4,Slick Airways - Cargo,N384
Douglas DC-3C,Frontier Airlines,N61442
Piper PA-23,Commercial Air Taxi,N4320P
Vickers Viscount 785D,Alitalia,I-LAKE
Douglas C-54A-10-DC,Private - Facilities Management Co.,N4726V
Douglas DC-3,Aden Airways,VR-AAM
Sud Aviation Caravelle 3,Middle East Airlines,OD-AEM
Cessna 185,Wein Alaska Airlines Inc.,N9984X
Fairchild F-27A,PacifiAir Lines,N2770R
Douglas C-54,Military - Argentine Air Force,TC-46
Douglas C-54,Fuerza A̩rea Argentina,T-47
Boeing C-135B,Military - U.S. Air Force,62-0332
de Havilland Canada DHC-3 Otter,Philippine Air Lines,PI-C51
Douglas C-47-DL,VASP,PP-SPZ
Piper PA-24,Commercial Air Taxi,N5420P
Douglas C-47A,Saudi Arabian Airlines,HZ-AAN
Aero Commander 680,Private - Air Taxi,N344S
Curtiss C-46-CU,Civil Air Transport,B-908
Douglas DC-3,TASSA,EC-AQH
Lockheed 12A,Commercial Air Taxi,N18946
Caravelle VIR,United Air Lines,N1007U
Boeing B-707-331,Trans World Airlines,N769TW
Vickers Viscount 745D,United Air Lines,N7405
Piper PA-28,Commercial Air Taxi,N5493W
Douglas DC-7B,Eastern Air Lines,N809D
Beechcraft 35-B33 Debonair,Private,N8972M
Piper PA-18,Commercial Air Taxi,N6015Z
Piper PA-23,Wiggins Airways,N5485Y
Douglas C-47A-25-DK,Servicios A̩reos Cochabamba,CP-680
Ilyushin IL-18B,Aeroflot,CCCP-75531
Vickers Viscount 710C,VASP,PP-SRR
Douglas C-47,Military - Royal Thai Air Force,
Douglas C-47A,AVIANCA,HK-319
Douglas DC-6B,Union des Transportes Aeriens,F-BHMS
Lockheed L-749A-79 Constellation,Interocean,LX-IOK
Ilyushin IL-14,Tarom,YR-ILB
Hughes 269B,Commercial Air Taxi,N9340F
Ilyushin IL-18,Military - Soviet Air Force,
Beechcraft C45G,Mustang Aviati,N2849G
Fairchild F-27A,Bonanza Airlines,N745L
Lockheed P-3A,Military - U.S. Navy,151362
Beechcraft C-45H,Air America,N9574Z
Douglas DC-4,Air Congo,OO-DEP
Cessna 206,Commercial Air Taxi,N5089U
Douglas DC-3,Aerolineas Abaroa,CP-639
Fairchild C-123,Military - Vietnamese Air Force,
Douglas DC-3,Fleming Airways System Transport,PI-C569
Douglas DC-3,SATCO,OB-XAU
Lockheed L-1049H Super Constellation,Flying Tiger Line,N6915C
Curtiss C-46,Lineas A̩reas Sud Americana,CC-CAN
Curtis C-46A,Zantop Air Transport,N608Z
Cessna 182B,Alva Aircraft Service - Taxi,N2401G
Cessna 180E,Fairbanks Air Service - Taxi,N8689X
Boeing KC-135A,Military - U.S. Air Force,57-1442
Curtiss C-46,Aerovias del Norte,
Douglas C-124C,Military - U.S. Air Force,52-1058
Curtiss C-46A,Air Cameroon,F-OAFI
Douglas DC-6B,LAN,CC-CCG-104
Douglas DC-7B,Eastern Air Lines,N849D
Curtiss C-46A,Aerolineas El Salvador,YS-012C
Douglas DC-3,Zen Nippon,JA5080
Beechcraft B-35,Air Taxi,N2151D
Lockheed C-130E Hercules,Military - U.S. Air Force,62-1845
Douglas DC-3,Fairways,PI-C948
Tupolev TU-124,Aeroflot,CCCP-45028
Handley Page HPR-7 Herald 211,Eastern Provincial Airways,CF-NAF
Douglas C-47,AVIANCA,HK-109
Canadair CP-107 MK-2,Military - Royal Canadian Air Force,20727
Douglas C-47,Pakistan International Airlines,AP-AAH
Convair CV-440-62,Iberia Airlines,EC-ATH
Beech C-45H,Ortner Air Service - Taxi,N84R
Handley Page Dart Herald 207,Alia Royal Jordanian Airlines,JY-ACQ
Douglas C-47B,British United Airways,G-ANTB
Piper PA-24,Baker Aero Inc. - Taxi,N7397P
Douglas DC-6A,Aaxico Airlines,N6541C
Lockheed 1049G-55 Super Constellation,Iberia Airlines,EC-AIN
Boeing B-720-040B,Pakistan International Airlines,AP-AMH
Bell UH-1D / Bell UH1D (helicopters),Military - U.S. Army / Military - U.S. Army,63-8760/63-8840
Boeing C-135A,Military - U.S. Air Force,60-0373
Boeing B-707-321B,Pan American World Airways,N761PA
Boeing B-707-124,Continental Airlines,N70773
Fokker F-27 Friendship 200,Pakistan International Airlines,AP-ATT
Handley Page Hastings C Mark 1,Military -Royal Air Force,TG577
Antonov AN-12,Military - Soviet Air Force,
Douglas DC-6B,Canadian PacifiAir Lines,CF-CUQ
EC-121H (Super Constellation),Military - U.S. Air Force,55-1036
de Havilland 106A,Virgin Islands Airways,N6503D
Lockheed P2V-7,Military - Japan Maritime Self Defense Force,
Douglas C-47,Military - Philippine Air Force,777
Douglas C-54D,Rutas Internacionales Peruanes,OB-R-769
Curtiss C-46A,Paraense Transportes A̩reos,PP-BTH
Boeing B-727-22,United Air Lines,N7036U
Vickers 804 Viscount,LOT Polish Airlines,SP-LVA
Lockheed KC-130F,Military - U.S. Marine Corps,149802
Aero Commander 680,Cordova Airlines,N6305U
Douglas DC-3A,Filipinas Orient Airways,PI-C942
Douglas DC-3,Ethiopian Airlines,ET-ABI
Transportes A̩reos Orientales,TAO,HC-AFQ
Douglas DC-3,Air Vietnam (South Vietnam),XV-NIC
Boeing B-707-121B,Pan American World Airways,N708PA
Douglas C-47,Military - Chilian Air Force,970
Douglas DC-3 / Piper PA-18A,AVIANCA,HK-118/HK-922F
Douglas C-47A,Kalinga Airlines,VT-AUQ
Boeing 307 Stratoliner B-1,International Control Commision,F-BELV
Douglas DC-3,Philippine Air Lines,PI-C-144
Vickers Vanguard 951,British European Airways,G-APEE
Douglas C-47A,Military - French Air Force,316410
Douglas C-54,Military - Argentine Air Force,TC-48
Douglas C-47DL,Aerolineas TAO,HK-1202
Boeing B-727-23,American Airlines,N1996
Tupolev TU-124,Aeroflot,CCCP-45086
Boeing B-727-22,United Air Lines,N7030U
Beechcraft C-45H,Skyway Air  - Taxi,N9915Z
Learjet 23,Paul Kelly Flying Service Inc.,N243F
Douglas C-53-DO (DC-3A),Edde Airlines,N485
Boeing B-707-131B / L1049C Constellation,Trans World Airlines / Eastern Air Lines,N748TW/N6218C
Curtiss C-46D,Aeropesca Colombia,HK-527
Douglas DC-3,Spantax,EC-ARZ
Fairchild C-123C,Military - U.S. Air Force,56-4376
Cessna 120,Air Taxi,N89805C
Douglas DC-3A,Air Manila,PI-C856
Beechcraft G35,Ray A. Gardner - Taxi,N4554D
Douglas DC-3 / Douglas DC-3,Garuda  Indonesia Airlines / Garuda Indonesia Airlines,PK-GDU/PK-GDE
Douglas DC-6-54B,AVIANCA,HK-730
Douglas DC-3,COHATA,N4662
Boeing B-707-437,Air India,VT-DMN
Fairchild C-123B,Military - U.S. Air Force,54-0702
Beechcraft B95A,Devener Flying Service - Taxi,N598C
Convair CV-440-0,Lufthansa,D-ACAT
Boeing B-727-81,All Nippon Airways,JA8302
Fokker F-27 Friendship 200,Indian Airlines,PH-SAB
Beechcraft D35,Beatty Flying Service - Taxi,N112U
Sud Aviation SE-210 Caravelle VIN,Indian Airlines,VT-DPP
Douglas DC-6B,Belgian International Air Services,OO-ABG
McDonnell Douglas DC-8-43,Canadian PacifiAir Lines,CF-CPK
de Havilland 104-6A,Alamo Airways,N1563V
Boeing B-707-436,British Overseas Airways,G-APFE
Piper PA-32,Bassett Complany - Taxi,N3296W
Grumman G-21A,,CF-MSK
Douglas DC-6A,Trans Mediterranean Airways,OD-AEL
Antonov AN-24B,United Arab Airlines,SU-AOA
Curtiss C-46F,Servicios Americanos,N1245N
Cessna 172D,Layman Weikle - Taxi,N2486U
Lockheed P-3A Orion,Military - U.S. Navy,152171
Douglas C-47A,Continental Air Services,N8744R
Lockheed 188C Electra,American Flyers Airline,N183H
Lockheed 749A Constellation,LANSA,OB-R-771
Boeing CH47A (helicopter),Military - U.S. Army,64-13138
Cessna 180,Kurtzer Flying Service - Taxi,N4546B
Boeing KC-135A,Military - U.S. Air Force,57-1444
Curtiss C-46A,Zantop Air Transport,N10415
Curtiss C-46E,Nordair,CF-FBJ
Douglas DC-3,McCoy Flying Service - Taxi,N17337
Piper PA-23,Lackey Aero Company - Taxi,N5775Y
Douglas DC-3,Philippine Air Lines,PI-C17
Douglas DC-8-52,Air New Zealand,ZK-NZB
Beechcraft H50,Private - Mainline Aviation,N538B
Curtiss C-46D,Lloyd A̩reo Boliviano,CP-730
BAC One-Eleven 203AE,Braniff Airlines,N1553
Ilyushin IL-14,Tarom,YR-TAN
Douglas DC-8-51,Aeronaves de Mexico,XA-PEI
Beech C-18S,NC Simpson - Taxi,N445
Cessna 310C,Richland Aviation  - Taxi,N1836H
Chance Vought F-8E,Military - U.S. Marine Corps,150321
Curtiss C-46F-1-CU,Aerovias Halcon,LV-GLA
Grumman G-21 Goose,Alaska Coastal Airlines,N88820
Bristol Britannia 102,Britannia Airways,G-ANBB
Sud Aviation SE-210 Caravelle,Indian Airlines,VT-DSB
Douglas DC-3,Iberia Airlines,EC-AXC
Vickers Viscount 832,Ansett ANA,VH-RMI
Douglas DC-4,Avianca,HK-174
McDonnell Douglas DC-9-14,West Coast Airlines,N9101
de Havilland Canada CV-2B Caribou,Military - U.S. Army,63-9751
Bell 204B helicopter,Petroleum Helicopter,N1187W
Antonov AN-24,Aeroflot,CCCP-46467
Piper PA-32,Warsaw Aviation - Taxi,N3279W
Beech D18S,Gastonia Aviation - Taxi,N411Z
Cessna 205A,Chester Airport,N4816U
Lockheed EC-121H,Military - U.S. Air Force,55-5262
NAMC-YS-11-111,All Nippon Airways,JA8658
Boeing 727-21,Pan American Airways,N317PA
Martin 404,Piedmont Airlines,N40406
Douglas DC-3,Aden Airways,VR-AAN
Ilyushin IL-18B,Transportno Aviatsionno Bulgaro-Soviet Obshchestvo,LZ-BEN
Douglas C-47D,Military - U.S. Air Force,4476574
PBY-5A Catalina,Cruzeiro do Sul,PP-PCW
Tupolev TU-114B,Aeroflot,CCCP-76457
Lockheed L-1649A Starliner,Aerocondor de Colombia,N7301C
Canadair CL-44D4-1,Flying Tiger Line,N228SW
Douglas C-47A-80-DL,AVIANCA,HK-161
Beechcraft D18S,Red Bank Air Taxi,N2045D
Curtiss C-46F,Channel Air Lift,N30046
S2F-1 / HSS-2,Military - Japan Maritime Self Defense Force,
Piper PA-23,Air Taxi,N4129P
Douglas C-54A,Air Ferry,G-ASOG
Douglas DC-3,Syrian Arab Airlines,YK-ACB
Handley Page HPR-7 Herald 214,Sadia,PP-SDJ
Cessna 210-5A,Avanti Aviation -Air Taxi,N4855U
Antonov AN-24,Misrair,
Antonov AN-12,Cubana de Aviacion,CU-T827
Convair CV-440,Swissair,HB-IMF
Cessna 182,Vercoa Air Service - Air Taxi,N3796U
Lockheed L-188C Electra,Garuda Indonesia Airlines,PK-GLB
Douglas DC-6,Sahsa Airlines,HR-SAG
Fokker F-27 Friendship 100,Philippine Air Lines,PI-C501
McDonnell Douglas DC-8-33,Varig,PP-PEA
Convair CV-380,Lake Central Airlines,N73130
AT L98 Carvair,Compagnie Air Transport,F-BMHU
MD Douglas DC-9-15 / Beechcraft Baron-55,Trans World Airlines / Private,N1063T/N6127V
Douglas C-47J,Military - U.S. Navy,99844
Fairchild F-27,West Coast Airlines,N2712
de Havilland Canada DHC-6 Twin Otter 100,Aeralpi,I-CLAI
Vickers Viscount 818,South African Airways,ZS-CVA
Beechcraft D18S,Harvey's Flying Service - Air Taxi,N80194
Beechcraft 95-55,Harold E. Bell - Air Taxi,N1333Z
McDonnell Douglas DC-8-51,Delta Air Lines,N802E
Piper PA-30,Ace Flying Service,N7979Y
Lockheed 18 Lodestar,Caribbean Airlines,N706G
Beech C-45H,Lexington Air Taxi,N3727G
Curtiss-Wright C-46,Military - Republiof South Korea Air Force,
Douglas DC-4,Air Algerie,7T-VAU
Lockheed C-130B,Military - Imperial Iranian Air Force,5-107
Bristol Britannia 175,Globe Air,HB-ITB
EC-121H (Super Constellation),Military - U.S. Air Force,53-0549
Douglas DC-3,AVIANCA,HK-326
Fokker F-27 Friendship 400,Pelita Air Service,PK-PFB
Lockheed P-3A Orion,Military - U.S. Navy,151365
de Havilland DH-104 / Piper PA-28,Greylock Airways / Private,N80013 / N5836W
Cessna 205,Greenbriar Airways,N1301G
Douglas C-47-DL,Military - Chilean Air Force,FAC-956
Curtiss C-46T,Nordair,CF-NAD
Douglas DC-8-54F,Air Canada,CF-TJM
Douglas C54A,Air Ferry Ltd,G-APYK
Canadair C-4 Argonaut,British Midland Airways,G-ALHG
Lockheed C-130B Hercules,Military - U.S. Air Force,58-0737
Douglas DC-3,Saudi Arabian Airlines,HZ-AAJ
Bristol 170 Freighter 31E,Aer Turas,EI-APM
Douglas DC-3A-197D,Aeronaves de Mexico,XA-FUW
Douglas C-47,Military - Brazilian Air Force,C-47-268
Lockheed C-130E-I Hercules,Military - U.S. Air Force,64-0547
Lockheed C-130B,Military - U.S. Air Force,60-0293
Vickers 803 Viscount,Aer Lingus,EI-AOF
Lockheed L-1049H Super Constellation,Military - U.S. Air Force,N6936C
BAC One Eleven 204AF,Mohawk Airlines,N1116J
Bell UH-1B / Sikorsky CH53A helicopters,Military - U.S. Marine Corps/Military - U.S. Marine Corps,638572/153305
Douglas DC-3,Saudi Arabian Airlines,HZ-AAM
Sud Aviation SE-210 Caravelle III,Thai International,HS-TGI
Fokker F-27 Friendship 100,Philippine Air Lines,PI-C527
Douglas DC-4-1009,Air Madagascar,5R-MAD
Boeing B-727-22 / Cessna 310,Piedmont Airlines / Private,N68650/N3121S
Douglas DC-3,Vehu Akat,XW-PDL
Douglas DC-3,Taiwan Aviation,B-112
Piper PA-32,Hudgin Air Service,N3308W
Breguet 1150,Military - French Air Force,39
Fairchild C-123K,Military - U.S. Air Force,54-0621
Ilyushin IL-18,Ceskoslovenske Aerolinie,OK-WAI
